"","spp.id","state","tot.ba"
"1","s334","Washington",0
"2","s334","Montana",0
"3","s334","Maine",0
"4","s334","North Dakota",0
"5","s334","South Dakota",0
"6","s334","Wyoming",0
"7","s334","Wisconsin",0
"8","s334","Idaho",0
"9","s334","Vermont",0
"10","s334","Minnesota",0
"11","s334","Oregon",0
"12","s334","New Hampshire",0
"13","s334","Iowa",0
"14","s334","Massachusetts",0
"15","s334","Nebraska",5789.09558007866
"16","s334","New York",0
"17","s334","Pennsylvania",0
"18","s334","Connecticut",0
"19","s334","Rhode Island",0
"20","s334","New Jersey",0
"21","s334","Indiana",0
"22","s334","Nevada",0
"23","s334","Utah",0
"24","s334","California",0
"25","s334","Ohio",0
"26","s334","Illinois",0
"27","s334","District of Columbia",0
"28","s334","Delaware",0
"29","s334","West Virginia",0
"30","s334","Maryland",0
"31","s334","Colorado",0
"32","s334","Kentucky",0
"33","s334","Kansas",8475.59839341743
"34","s334","Virginia",0
"35","s334","Missouri",0.225810289382935
"36","s334","Arizona",0
"37","s334","Oklahoma",0
"38","s334","North Carolina",0
"39","s334","Tennessee",0
"40","s334","Texas",861.21754451585
"41","s334","New Mexico",0
"42","s334","Alabama",0
"43","s334","Mississippi",0
"44","s334","Georgia",0
"45","s334","South Carolina",0
"46","s334","Arkansas",0
"47","s334","Louisiana",0
"48","s334","Florida",0
"49","s334","Michigan",0
